question_id,body_vs_in_favor_agreement,body_vs_against_agreement,in_favor_vs_against_agreement
0,0.09523809523809523,0.9047619047619048,0.19047619047619047
1,0.09523809523809523,0.09523809523809523,0.8095238095238095
2,0.7142857142857143,0.2857142857142857,0.09523809523809523
3,0.5714285714285714,0.3333333333333333,0.09523809523809523
4,0.47619047619047616,0.38095238095238093,0.7142857142857143
5,1.0,0.7142857142857143,0.7142857142857143
6,0.9047619047619048,0.47619047619047616,0.47619047619047616
7,0.8095238095238095,0.19047619047619047,0.09523809523809523
8,0.38095238095238093,0.38095238095238093,0.8095238095238095
9,0.7142857142857143,0.7142857142857143,1.0
10,0.2857142857142857,0.38095238095238093,0.8095238095238095
11,0.7142857142857143,1.0,0.7142857142857143
12,1.0,0.38095238095238093,0.38095238095238093
13,1.0,1.0,1.0
14,0.8095238095238095,0.8095238095238095,0.9047619047619048
15,0.09523809523809523,0.09523809523809523,0.9047619047619048
16,0.47619047619047616,1.0,0.47619047619047616
17,0.8095238095238095,0.7142857142857143,0.7142857142857143
18,0.38095238095238093,0.5238095238095238,0.38095238095238093
19,0.7142857142857143,0.09523809523809523,0.38095238095238093
20,0.2857142857142857,0.8095238095238095,0.38095238095238093
21,0.8095238095238095,0.09523809523809523,0.19047619047619047
22,0.7142857142857143,0.8095238095238095,0.9047619047619048
23,0.2857142857142857,0.2857142857142857,1.0
24,0.2857142857142857,0.8095238095238095,0.38095238095238093
25,0.8095238095238095,0.9047619047619048,0.8095238095238095
26,0.38095238095238093,1.0,0.38095238095238093
27,0.7142857142857143,0.19047619047619047,0.47619047619047616
28,0.6666666666666666,0.6190476190476191,0.38095238095238093
29,0.38095238095238093,0.38095238095238093,0.8095238095238095
30,0.5238095238095238,0.5714285714285714,0.5714285714285714
31,0.47619047619047616,0.38095238095238093,0.7142857142857143
32,0.7142857142857143,0.38095238095238093,0.19047619047619047
33,0.09523809523809523,0.09523809523809523,0.8095238095238095
34,1.0,0.38095238095238093,0.38095238095238093
35,0.7142857142857143,0.7142857142857143,1.0
36,1.0,0.19047619047619047,0.19047619047619047
37,0.7142857142857143,1.0,0.7142857142857143
38,0.7142857142857143,0.09523809523809523,0.38095238095238093
39,1.0,1.0,1.0
40,0.19047619047619047,1.0,0.19047619047619047
